Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
Ana Laura,5,LP18,790,M218
Ana Laura,4,LP23,977,M992
Ana Laura,6,LP24,181,M519
Ana Laura,1,LP6,629,M600
Ana Laura,2,LP11,505,M152
Ana Laura,3,LP10,437,M31
dardofontanella,4,LP23,977,M360
dardofontanella,1,LP6,629,M50
dardofontanella,5,LP18,790,M757
dardofontanella,3,LP10,437,M529
dardofontanella,6,LP24,181,M163
dardofontanella,2,LP11,505,M643
Guille Desch,1,LP6,629,M913
Guille Desch,3,LP10,437,M811
Guille Desch,4,LP23,977,M518
Guille Desch,2,LP11,505,M160
Guille Desch,5,LP18,790,M583
Guille Desch,6,LP24,181,M130
Juan,3,LP10,437,M497
Juan,2,LP11,505,M322
Juan,1,LP6,629,M964
Juan,6,LP24,181,M604
Juan,4,LP23,977,M998
Juan,5,LP18,790,M826
Lujan,2,LP11,505,M774
Lujan,6,LP24,181,M966
Lujan,3,LP10,437,M127
Lujan,5,LP18,790,M675
Lujan,1,LP6,629,M61
Lujan,4,LP23,977,M187
Maia,6,LP24,181,M663
Maia,5,LP18,790,M991
Maia,2,LP11,505,M799
Maia,4,LP23,977,M762
Maia,3,LP10,437,M254
Maia,1,LP6,629,M906
Monica,3,LP10,437,M945
Monica,2,LP11,505,M537
Monica,5,LP18,790,M670
Monica,6,LP24,181,M862
Monica,1,LP6,629,M418
Monica,4,LP23,977,M301
Paolo,2,LP11,505,M708
Paolo,6,LP24,181,M449
Paolo,3,LP10,437,M668
Paolo,4,LP23,977,M364
Paolo,5,LP18,790,M348
Paolo,1,LP6,629,M925
Saul,6,LP24,181,M439
Saul,4,LP23,977,M769
Saul,2,LP11,505,M580
Saul,1,LP6,629,M695
Saul,3,LP10,437,M102
Saul,5,LP18,790,M502
Matias,4,LP23,977,M861
Matias,1,LP6,629,M525
Matias,6,LP24,181,M223
Matias,5,LP18,790,M880
Matias,2,LP11,505,M180
Matias,3,LP10,437,M217
Mauro,1,LP6,629,M560
Mauro,5,LP18,790,M414
Mauro,4,LP23,977,M351
Mauro,3,LP10,437,M970
Mauro,6,LP24,181,M383
Mauro,2,LP11,505,M977
Adelina,5,LP18,790,M900
Adelina,3,LP10,437,M268
Adelina,1,LP6,629,M653
Adelina,2,LP11,505,M601
Adelina,4,LP23,977,M14
Adelina,6,LP24,181,M484
V13,2,LP11,505,M772
V13,4,LP23,977,M278
V13,6,LP24,181,M231
V13,5,LP18,790,M816
V13,3,LP10,437,M733
V13,1,LP6,629,M638
