Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
Ana Laura,5,LP21,737,M43
Ana Laura,4,LP10,485,M918
Ana Laura,6,LP6,381,M959
Ana Laura,1,LP5,812,M800
Ana Laura,2,LP4,790,M257
Ana Laura,3,LP15,625,M386
dardofontanella,4,LP10,485,M280
dardofontanella,1,LP5,812,M199
dardofontanella,5,LP21,737,M579
dardofontanella,3,LP15,625,M886
dardofontanella,6,LP6,381,M522
dardofontanella,2,LP4,790,M394
Guille Desch,1,LP5,812,M341
Guille Desch,3,LP15,625,M507
Guille Desch,4,LP10,485,M605
Guille Desch,2,LP4,790,M390
Guille Desch,5,LP21,737,M680
Guille Desch,6,LP6,381,M431
Juan,3,LP15,625,M601
Juan,2,LP4,790,M654
Juan,1,LP5,812,M375
Juan,6,LP6,381,M476
Juan,4,LP10,485,M248
Juan,5,LP21,737,M427
Lujan,2,LP4,790,M112
Lujan,6,LP6,381,M975
Lujan,3,LP15,625,M477
Lujan,5,LP21,737,M648
Lujan,1,LP5,812,M330
Lujan,4,LP10,485,M321
Maia,6,LP6,381,M891
Maia,5,LP21,737,M987
Maia,2,LP4,790,M156
Maia,4,LP10,485,M119
Maia,3,LP15,625,M120
Maia,1,LP5,812,M180
Monica,3,LP15,625,M36
Monica,2,LP4,790,M623
Monica,5,LP21,737,M710
Monica,6,LP6,381,M420
Monica,1,LP5,812,M792
Monica,4,LP10,485,M18
Paolo,2,LP4,790,M159
Paolo,6,LP6,381,M942
Paolo,3,LP15,625,M160
Paolo,4,LP10,485,M352
Paolo,5,LP21,737,M334
Paolo,1,LP5,812,M25
Saul,6,LP6,381,M34
Saul,4,LP10,485,M172
Saul,2,LP4,790,M927
Saul,1,LP5,812,M170
Saul,3,LP15,625,M273
Saul,5,LP21,737,M421
Matias,4,LP10,485,M969
Matias,1,LP5,812,M911
Matias,6,LP6,381,M270
Matias,5,LP21,737,M795
Matias,2,LP4,790,M413
Matias,3,LP15,625,M372
Mauro,1,LP5,812,M326
Mauro,5,LP21,737,M938
Mauro,4,LP10,485,M187
Mauro,3,LP15,625,M147
Mauro,6,LP6,381,M239
Mauro,2,LP4,790,M736
Adelina,5,LP21,737,M241
Adelina,3,LP15,625,M720
Adelina,1,LP5,812,M979
Adelina,2,LP4,790,M728
Adelina,4,LP10,485,M743
Adelina,6,LP6,381,M875
V13,2,LP4,790,M906
V13,4,LP10,485,M739
V13,6,LP6,381,M882
V13,5,LP21,737,M419
V13,3,LP15,625,M816
V13,1,LP5,812,M790
