Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
Ana Laura,5,LP18,698,M481
Ana Laura,4,LP17,575,M860
Ana Laura,6,LP11,481,M156
Ana Laura,1,LP8,922,M582
Ana Laura,2,LP12,800,M444
Ana Laura,3,LP14,735,M258
dardofontanella,4,LP17,575,M48
dardofontanella,1,LP8,922,M645
dardofontanella,5,LP18,698,M204
dardofontanella,3,LP14,735,M777
dardofontanella,6,LP11,481,M306
dardofontanella,2,LP12,800,M348
Guille Desch,1,LP8,922,M55
Guille Desch,3,LP14,735,M234
Guille Desch,4,LP17,575,M329
Guille Desch,2,LP12,800,M626
Guille Desch,5,LP18,698,M854
Guille Desch,6,LP11,481,M117
Juan,3,LP14,735,M51
Juan,2,LP12,800,M144
Juan,1,LP8,922,M532
Juan,6,LP11,481,M546
Juan,4,LP17,575,M586
Juan,5,LP18,698,M380
Lujan,2,LP12,800,M336
Lujan,6,LP11,481,M848
Lujan,3,LP14,735,M458
Lujan,5,LP18,698,M683
Lujan,1,LP8,922,M262
Lujan,4,LP17,575,M700
Maia,6,LP11,481,M246
Maia,5,LP18,698,M220
Maia,2,LP12,800,M934
Maia,4,LP17,575,M172
Maia,3,LP14,735,M392
Maia,1,LP8,922,M410
Monica,3,LP14,735,M402
Monica,2,LP12,800,M970
Monica,5,LP18,698,M719
Monica,6,LP11,481,M26
Monica,1,LP8,922,M309
Monica,4,LP17,575,M989
Paolo,2,LP12,800,M522
Paolo,6,LP11,481,M223
Paolo,3,LP14,735,M68
Paolo,4,LP17,575,M526
Paolo,5,LP18,698,M764
Paolo,1,LP8,922,M805
Saul,6,LP11,481,M595
Saul,4,LP17,575,M251
Saul,2,LP12,800,M897
Saul,1,LP8,922,M943
Saul,3,LP14,735,M361
Saul,5,LP18,698,M285
Matias,4,LP17,575,M666
Matias,1,LP8,922,M490
Matias,6,LP11,481,M84
Matias,5,LP18,698,M677
Matias,2,LP12,800,M790
Matias,3,LP14,735,M661
Mauro,1,LP8,922,M590
Mauro,5,LP18,698,M568
Mauro,4,LP17,575,M152
Mauro,3,LP14,735,M405
Mauro,6,LP11,481,M441
Mauro,2,LP12,800,M118
Adelina,5,LP18,698,M855
Adelina,3,LP14,735,M247
Adelina,1,LP8,922,M657
Adelina,2,LP12,800,M249
Adelina,4,LP17,575,M245
Adelina,6,LP11,481,M876
V13,2,LP12,800,M137
V13,4,LP17,575,M693
V13,6,LP11,481,M438
V13,5,LP18,698,M59
V13,3,LP14,735,M550
V13,1,LP8,922,M485
