Valuador,Muestra,NombreProducto,CodigoProducto
Ana Laura,5,LP23,612
Ana Laura,4,LP10,885
Ana Laura,6,LP24,270
Ana Laura,1,LP5,590
Ana Laura,2,LP6,415
Ana Laura,3,LP15,373
dardofontanella,4,LP10,885
dardofontanella,1,LP5,590
dardofontanella,5,LP23,612
dardofontanella,3,LP15,373
dardofontanella,6,LP24,270
dardofontanella,2,LP6,415
Guille Desch,1,LP5,590
Guille Desch,3,LP15,373
Guille Desch,4,LP10,885
Guille Desch,2,LP6,415
Guille Desch,5,LP23,612
Guille Desch,6,LP24,270
Juan,3,LP15,373
Juan,2,LP6,415
Juan,1,LP5,590
Juan,6,LP24,270
Juan,4,LP10,885
Juan,5,LP23,612
Lujan,2,LP6,415
Lujan,6,LP24,270
Lujan,3,LP15,373
Lujan,5,LP23,612
Lujan,1,LP5,590
Lujan,4,LP10,885
Maia,6,LP24,270
Maia,5,LP23,612
Maia,2,LP6,415
Maia,4,LP10,885
Maia,3,LP15,373
Maia,1,LP5,590
Monica,3,LP15,373
Monica,2,LP6,415
Monica,5,LP23,612
Monica,6,LP24,270
Monica,1,LP5,590
Monica,4,LP10,885
Paolo,2,LP6,415
Paolo,6,LP24,270
Paolo,3,LP15,373
Paolo,4,LP10,885
Paolo,5,LP23,612
Paolo,1,LP5,590
Saul,6,LP24,270
Saul,4,LP10,885
Saul,2,LP6,415
Saul,1,LP5,590
Saul,3,LP15,373
Saul,5,LP23,612
Matias,4,LP10,885
Matias,1,LP5,590
Matias,6,LP24,270
Matias,5,LP23,612
Matias,2,LP6,415
Matias,3,LP15,373
Mauro,1,LP5,590
Mauro,5,LP23,612
Mauro,4,LP10,885
Mauro,3,LP15,373
Mauro,6,LP24,270
Mauro,2,LP6,415
V12,5,LP23,612
V12,3,LP15,373
V12,1,LP5,590
V12,2,LP6,415
V12,4,LP10,885
V12,6,LP24,270
V13,2,LP6,415
V13,4,LP10,885
V13,6,LP24,270
V13,5,LP23,612
V13,3,LP15,373
V13,1,LP5,590
