Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
Ana Laura,5,LP20,737,M976
Ana Laura,4,LP23,585,M883
Ana Laura,6,LP24,581,M459
Ana Laura,1,LP1,911,M311
Ana Laura,2,LP3,690,M546
Ana Laura,3,LP13,920,M114
dardofontanella,4,LP23,585,M444
dardofontanella,1,LP1,911,M823
dardofontanella,5,LP20,737,M709
dardofontanella,3,LP13,920,M474
dardofontanella,6,LP24,581,M754
dardofontanella,2,LP3,690,M140
Guille Desch,1,LP1,911,M496
Guille Desch,3,LP13,920,M228
Guille Desch,4,LP23,585,M377
Guille Desch,2,LP3,690,M916
Guille Desch,5,LP20,737,M968
Guille Desch,6,LP24,581,M979
Juan,3,LP13,920,M703
Juan,2,LP3,690,M844
Juan,1,LP1,911,M472
Juan,6,LP24,581,M977
Juan,4,LP23,585,M992
Juan,5,LP20,737,M182
Lujan,2,LP3,690,M476
Lujan,6,LP24,581,M924
Lujan,3,LP13,920,M561
Lujan,5,LP20,737,M452
Lujan,1,LP1,911,M373
Lujan,4,LP23,585,M328
Maia,6,LP24,581,M736
Maia,5,LP20,737,M853
Maia,2,LP3,690,M103
Maia,4,LP23,585,M850
Maia,3,LP13,920,M501
Maia,1,LP1,911,M893
Monica,3,LP13,920,M996
Monica,2,LP3,690,M186
Monica,5,LP20,737,M145
Monica,6,LP24,581,M567
Monica,1,LP1,911,M705
Monica,4,LP23,585,M912
Paolo,2,LP3,690,M394
Paolo,6,LP24,581,M692
Paolo,3,LP13,920,M623
Paolo,4,LP23,585,M864
Paolo,5,LP20,737,M161
Paolo,1,LP1,911,M263
Saul,6,LP24,581,M804
Saul,4,LP23,585,M792
Saul,2,LP3,690,M43
Saul,1,LP1,911,M707
Saul,3,LP13,920,M814
Saul,5,LP20,737,M391
Matias,4,LP23,585,M886
Matias,1,LP1,911,M466
Matias,6,LP24,581,M478
Matias,5,LP20,737,M279
Matias,2,LP3,690,M208
Matias,3,LP13,920,M47
Mauro,1,LP1,911,M700
Mauro,5,LP20,737,M803
Mauro,4,LP23,585,M129
Mauro,3,LP13,920,M514
Mauro,6,LP24,581,M437
Mauro,2,LP3,690,M847
V12,5,LP20,737,M770
V12,3,LP13,920,M335
V12,1,LP1,911,M805
V12,2,LP3,690,M390
V12,4,LP23,585,M650
V12,6,LP24,581,M79
V13,2,LP3,690,M92
V13,4,LP23,585,M433
V13,6,LP24,581,M292
V13,5,LP20,737,M796
V13,3,LP13,920,M70
V13,1,LP1,911,M410
