Valuador,Muestra,NombreProducto,CodigoProducto
Ana Laura,5,LP21,517
Ana Laura,4,LP14,787
Ana Laura,6,LP20,175
Ana Laura,1,LP1,440
Ana Laura,2,LP3,315
Ana Laura,3,LP13,293
dardofontanella,4,LP14,787
dardofontanella,1,LP1,440
dardofontanella,5,LP21,517
dardofontanella,3,LP13,293
dardofontanella,6,LP20,175
dardofontanella,2,LP3,315
Guille Desch,1,LP1,440
Guille Desch,3,LP13,293
Guille Desch,4,LP14,787
Guille Desch,2,LP3,315
Guille Desch,5,LP21,517
Guille Desch,6,LP20,175
Juan,3,LP13,293
Juan,2,LP3,315
Juan,1,LP1,440
Juan,6,LP20,175
Juan,4,LP14,787
Juan,5,LP21,517
Lujan,2,LP3,315
Lujan,6,LP20,175
Lujan,3,LP13,293
Lujan,5,LP21,517
Lujan,1,LP1,440
Lujan,4,LP14,787
Maia,6,LP20,175
Maia,5,LP21,517
Maia,2,LP3,315
Maia,4,LP14,787
Maia,3,LP13,293
Maia,1,LP1,440
Monica,3,LP13,293
Monica,2,LP3,315
Monica,5,LP21,517
Monica,6,LP20,175
Monica,1,LP1,440
Monica,4,LP14,787
Paolo,2,LP3,315
Paolo,6,LP20,175
Paolo,3,LP13,293
Paolo,4,LP14,787
Paolo,5,LP21,517
Paolo,1,LP1,440
Saul,6,LP20,175
Saul,4,LP14,787
Saul,2,LP3,315
Saul,1,LP1,440
Saul,3,LP13,293
Saul,5,LP21,517
Matias,4,LP14,787
Matias,1,LP1,440
Matias,6,LP20,175
Matias,5,LP21,517
Matias,2,LP3,315
Matias,3,LP13,293
Mauro,1,LP1,440
Mauro,5,LP21,517
Mauro,4,LP14,787
Mauro,3,LP13,293
Mauro,6,LP20,175
Mauro,2,LP3,315
V12,5,LP21,517
V12,3,LP13,293
V12,1,LP1,440
V12,2,LP3,315
V12,4,LP14,787
V12,6,LP20,175
V13,2,LP3,315
V13,4,LP14,787
V13,6,LP20,175
V13,5,LP21,517
V13,3,LP13,293
V13,1,LP1,440
